%% LaTeX2e file `coord-easy-out.dat'
%% generated by the `filecontents' environment
%% from source `main' on 2016/05/30.
%%
            # x  y  r
  30 3 0.400000
  30 2 2.800000
  30 4 0.066667
  60 3 0.533333
  60 2 3.350000
  60 5 0.016667
  60 4 0.100000
  90 3 0.500000
  90 2 3.566667
  90 5 0.016667
  90 4 0.166667
  90 7 0.016667
  120 3 0.600000
  120 2 3.550000
  120 5 0.016667
  120 4 0.083333
  149 3 0.483333
  149 2 3.566667
  149 5 0.016667
  149 4 0.183333
  149 6 0.033333

        
